rotulo fase id_evento id_estrutura tempo endereco tamanho
E 0 2 0 1.378800914 140728275409200 32
E 0 3 0 1.378805764 140728275412400 32
E 0 4 0 1.378806538 140728275415600 32
E 0 5 0 1.378807245 140728275418800 32
E 0 6 0 1.378807816 140728275422000 32
E 0 7 0 1.378808348 140728275425200 32
E 0 8 0 1.378809026 140728275428400 32
E 0 9 0 1.378809539 140728275431600 32
E 0 10 0 1.378810071 140728275434800 32
E 0 11 0 1.378810613 140728275438000 32
E 0 12 0 1.378811233 140728275441200 32
E 0 13 0 1.378811784 140728275444400 32
E 0 14 0 1.378812307 140728275447600 32
E 0 15 0 1.378812830 140728275450800 32
E 0 16 0 1.378813391 140728275454000 32
E 0 17 0 1.378813895 140728275457200 32
E 0 18 0 1.378814388 140728275460400 32
E 0 19 0 1.378814959 140728275463600 32
E 0 20 0 1.378815424 140728275466800 32
E 0 21 0 1.378815918 140728275470000 32
E 0 22 0 1.378816460 140728275473200 32
E 0 23 0 1.378817031 140728275476400 32
E 0 24 0 1.378817525 140728275479600 32
E 0 25 0 1.378818038 140728275482800 32
E 0 26 0 1.378818618 140728275486000 32
E 0 27 0 1.378819112 140728275489200 32
E 0 28 0 1.378819625 140728275492400 32
E 0 29 0 1.378820119 140728275495600 32
E 0 30 0 1.378820671 140728275498800 32
E 0 31 0 1.378821164 140728275502000 32
E 0 32 0 1.378821687 140728275505200 32
E 0 33 0 1.378822239 140728275508400 32
E 0 34 0 1.378822742 140728275511600 32
E 0 35 0 1.378823255 140728275514800 32
E 0 36 0 1.378823787 140728275518000 32
E 0 37 0 1.378824339 140728275521200 32
E 0 38 0 1.378824823 140728275524400 32
E 0 39 0 1.378825307 140728275527600 32
E 0 40 0 1.378825849 140728275530800 32
E 0 41 0 1.378826362 140728275534000 32
E 0 42 0 1.378826827 140728275537200 32
E 0 43 0 1.378827311 140728275540400 32
E 0 44 0 1.378827776 140728275543600 32
E 0 45 0 1.378828240 140728275546800 32
E 0 46 0 1.378828734 140728275550000 32
E 0 47 0 1.378829179 140728275553200 32
E 0 48 0 1.378829731 140728275556400 32
E 0 49 0 1.378830215 140728275559600 32
E 0 50 0 1.378830747 140728275562800 32
E 0 51 0 1.378831270 140728275566000 32
E 0 52 0 1.378831802 140728275569200 32
E 0 53 0 1.378832286 140728275572400 32
E 0 54 0 1.378832761 140728275575600 32
E 0 55 0 1.378833245 140728275578800 32
E 0 56 0 1.378833738 140728275582000 32
E 0 57 0 1.378834251 140728275585200 32
E 0 58 0 1.378834735 140728275588400 32
E 0 59 0 1.378835229 140728275591600 32
E 0 60 0 1.378835771 140728275594800 32
E 0 61 0 1.378836284 140728275598000 32
E 0 62 0 1.378836758 140728275601200 32
E 0 63 0 1.378837233 140728275604400 32
E 0 64 0 1.378837794 140728275607600 32
E 0 65 0 1.378838346 140728275610800 32
E 0 66 0 1.378838830 140728275614000 32
E 0 67 0 1.378839420 140728275617200 32
E 0 68 0 1.378840040 140728275620400 32
E 0 69 0 1.378841095 140728275623600 32
E 0 70 0 1.378841802 140728275626800 32
E 0 71 0 1.378842373 140728275630000 32
E 0 72 0 1.378842992 140728275633200 32
E 0 73 0 1.378843496 140728275636400 32
E 0 74 0 1.378844202 140728275639600 32
E 0 75 0 1.378844725 140728275642800 32
E 0 76 0 1.378845257 140728275646000 32
E 0 77 0 1.378845819 140728275649200 32
E 0 78 0 1.378846351 140728275652400 32
E 0 79 0 1.378846980 140728275655600 32
E 0 80 0 1.378847513 140728275658800 32
E 0 81 0 1.378847997 140728275662000 32
E 0 82 0 1.378848645 140728275665200 32
E 0 83 0 1.378849255 140728275668400 32
E 0 84 0 1.378849778 140728275671600 32
E 0 85 0 1.378850368 140728275674800 32
E 0 86 0 1.378850910 140728275678000 32
E 0 87 0 1.378851404 140728275681200 32
E 0 88 0 1.378852159 140728275684400 32
E 0 89 0 1.378852827 140728275687600 32
E 0 90 0 1.378853398 140728275690800 32
E 0 91 0 1.378853940 140728275694000 32
E 0 92 0 1.378854666 140728275697200 32
E 0 93 0 1.378855295 140728275700400 32
E 0 94 0 1.378855867 140728275703600 32
E 0 95 0 1.378856447 140728275706800 32
E 0 96 0 1.378856970 140728275710000 32
E 0 97 0 1.378857551 140728275713200 32
E 0 98 0 1.378858083 140728275716400 32
E 0 99 0 1.378858674 140728275719600 32
E 0 100 0 1.378859206 140728275722800 32
E 0 101 0 1.378859951 140728275726000 32
E 0 102 0 1.378860639 140728275729200 32
E 0 103 0 1.378861365 140728275732400 32
E 0 104 0 1.378862004 140728275735600 32
E 0 105 0 1.378966004 140728275738800 32
E 0 106 0 1.378966827 140728275742000 32
E 0 107 0 1.378967340 140728275745200 32
E 0 108 0 1.378967814 140728275748400 32
E 0 109 0 1.378968366 140728275751600 32
E 0 110 0 1.378968889 140728275754800 32
E 0 111 0 1.378969469 140728275758000 32
E 0 112 0 1.378970031 140728275761200 32
E 0 113 0 1.378970573 140728275764400 32
E 0 114 0 1.378971154 140728275767600 32
E 0 115 0 1.378971812 140728275770800 32
E 0 116 0 1.378972277 140728275774000 32
E 0 117 0 1.378972751 140728275777200 32
E 0 118 0 1.378973312 140728275780400 32
E 0 119 0 1.378973796 140728275783600 32
E 0 120 0 1.378974251 140728275786800 32
E 0 121 0 1.378974726 140728275790000 32
E 0 122 0 1.378975209 140728275793200 32
E 0 123 0 1.378975732 140728275796400 32
E 0 124 0 1.378976187 140728275799600 32
E 0 125 0 1.378976671 140728275802800 32
E 0 126 0 1.378977136 140728275806000 32
E 0 127 0 1.378977726 140728275809200 32
E 0 128 0 1.378978307 140728275812400 32
E 0 129 0 1.378978907 140728275815600 32
E 0 130 0 1.378979507 140728275818800 32
E 0 131 0 1.378980243 140728275822000 32
E 0 132 0 1.378980785 140728275825200 32
E 0 133 0 1.378981288 140728275828400 32
E 0 134 0 1.378981772 140728275831600 32
E 0 135 0 1.378982276 140728275834800 32
E 0 136 0 1.378982760 140728275838000 32
E 0 137 0 1.378983263 140728275841200 32
E 0 138 0 1.378984067 140728275844400 32
E 0 139 0 1.378984580 140728275847600 32
E 0 140 0 1.378985073 140728275850800 32
E 0 141 0 1.378985548 140728275854000 32
E 0 142 0 1.378986022 140728275857200 32
E 0 143 0 1.378986525 140728275860400 32
E 0 144 0 1.378987077 140728275863600 32
E 0 145 0 1.378987619 140728275866800 32
E 0 146 0 1.378988161 140728275870000 32
E 0 147 0 1.378989100 140728275873200 32
E 0 148 0 1.378989603 140728275876400 32
E 0 149 0 1.378990116 140728275879600 32
E 0 150 0 1.378990639 140728275882800 32
E 0 151 0 1.378991249 140728275886000 32
E 0 152 0 1.378991849 140728275889200 32
E 0 153 0 1.378992527 140728275892400 32
E 0 154 0 1.378993166 140728275895600 32
E 0 155 0 1.378993766 140728275898800 32
E 0 156 0 1.378994463 140728275902000 32
E 0 157 0 1.378994976 140728275905200 32
E 0 158 0 1.378995498 140728275908400 32
E 0 159 0 1.378996273 140728275911600 32
E 0 160 0 1.378996825 140728275914800 32
E 0 161 0 1.378997328 140728275918000 32
E 0 162 0 1.378997802 140728275921200 32
E 0 163 0 1.378998344 140728275924400 32
E 0 164 0 1.378998964 140728275927600 32
E 0 165 0 1.378999506 140728275930800 32
E 0 166 0 1.378999990 140728275934000 32
E 0 167 0 1.379000522 140728275937200 32
E 0 168 0 1.379001132 140728275940400 32
E 0 169 0 1.379001761 140728275943600 32
E 0 170 0 1.379002381 140728275946800 32
E 0 171 0 1.379002884 140728275950000 32
E 0 172 0 1.379003446 140728275953200 32
E 0 173 0 1.379004017 140728275956400 32
E 0 174 0 1.379004578 140728275959600 32
E 0 175 0 1.379005111 140728275962800 32
E 0 176 0 1.379005682 140728275966000 32
E 0 177 0 1.379006253 140728275969200 32
E 0 178 0 1.379007018 140728275972400 32
E 0 179 0 1.379007811 140728275975600 32
E 0 180 0 1.379008402 140728275978800 32
E 0 181 0 1.379008992 140728275982000 32
E 0 182 0 1.379009641 140728275985200 32
E 0 183 0 1.379010241 140728275988400 32
E 0 184 0 1.379010802 140728275991600 32
E 0 185 0 1.379011499 140728275994800 32
E 0 186 0 1.379012128 140728275998000 32
E 0 187 0 1.379012642 140728276001200 32
E 0 188 0 1.379013280 140728276004400 32
E 0 189 0 1.379013861 140728276007600 32
E 0 190 0 1.379014423 140728276010800 32
E 0 191 0 1.379015042 140728276014000 32
E 0 192 0 1.379015729 140728276017200 32
E 0 193 0 1.379016242 140728276020400 32
E 0 194 0 1.379016736 140728276023600 32
E 0 195 0 1.379017239 140728276026800 32
E 0 196 0 1.379017820 140728276030000 32
E 0 197 0 1.379018391 140728276033200 32
E 0 198 0 1.379018885 140728276036400 32
E 0 199 0 1.379019466 140728276039600 32
E 0 200 0 1.379020047 140728276042800 32
E 0 201 0 1.379020715 140728276046000 32
E 0 202 0 1.379021421 140728276049200 32
E 0 203 0 1.379021983 140728276052400 32
E 0 204 0 1.379046773 140728276055600 32
E 0 205 0 1.379047876 140728276058800 32
E 0 206 0 1.379049280 140728276062000 32
E 0 207 0 1.379049890 140728276065200 32
E 0 208 0 1.379050509 140728276068400 32
E 0 209 0 1.379051206 140728276071600 32
E 0 210 0 1.379051806 140728276074800 32
E 0 211 0 1.379052668 140728276078000 32
E 0 212 0 1.379053258 140728276081200 32
E 0 213 0 1.379053858 140728276084400 32
E 0 214 0 1.379054517 140728276087600 32
E 0 215 0 1.379055010 140728276090800 32
E 0 216 0 1.379055533 140728276094000 32
E 0 217 0 1.379056017 140728276097200 32
E 0 218 0 1.379056491 140728276100400 32
E 0 219 0 1.379057014 140728276103600 32
E 0 220 0 1.379057508 140728276106800 32
E 0 221 0 1.379058001 140728276110000 32
E 0 222 0 1.379058601 140728276113200 32
E 0 223 0 1.379059376 140728276116400 32
E 0 224 0 1.379059870 140728276119600 32
E 0 225 0 1.379060808 140728276122800 32
E 0 226 0 1.379061351 140728276126000 32
E 0 227 0 1.379061931 140728276129200 32
E 0 228 0 1.379062502 140728276132400 32
E 0 229 0 1.379063045 140728276135600 32
E 0 230 0 1.379063722 140728276138800 32
E 0 231 0 1.379064284 140728276142000 32
E 0 232 0 1.379064826 140728276145200 32
E 0 233 0 1.379065406 140728276148400 32
E 0 234 0 1.379065958 140728276151600 32
E 0 235 0 1.379067749 140728276154800 32
E 0 236 0 1.379069937 140728276158000 32
E 0 237 0 1.379070488 140728276161200 32
E 0 238 0 1.379071040 140728276164400 32
E 0 239 0 1.379071611 140728276167600 32
