rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 2 -1 0.000492293 0 32
L 0 3 -1 0.000497583 1 32
L 0 4 -1 0.000498625 2 32
L 0 5 -1 0.000499377 3 32
L 0 6 -1 0.000500158 4 32
L 0 7 -1 0.000500829 5 32
L 0 8 -1 0.000501531 6 32
L 0 9 -1 0.000502252 7 32
L 0 10 -1 0.000503124 8 32
L 0 11 -1 0.000503875 9 32
L 0 12 -1 0.000504717 10 32
L 0 13 -1 0.000505378 11 32
L 0 14 -1 0.000506039 12 32
L 0 15 -1 0.000506630 13 32
L 0 16 -1 0.000507241 14 32
L 0 17 -1 0.000508113 15 32
L 0 18 -1 0.000508774 16 32
L 0 19 -1 0.000509526 17 32
L 0 20 -1 0.000510127 18 32
L 0 21 -1 0.000510718 19 32
L 0 22 -1 0.000511389 20 32
L 0 23 -1 0.000512131 21 32
L 0 24 -1 0.000512782 22 32
L 0 25 -1 0.000513914 23 32
L 0 26 -1 0.000514686 24 32
L 0 27 -1 0.000515257 25 32
L 0 28 -1 0.000515988 26 32
L 0 29 -1 0.000516639 27 32
L 0 30 -1 0.000517250 28 32
L 0 31 -1 0.000517892 29 32
L 0 32 -1 0.000518483 30 32
L 0 33 -1 0.000519054 31 32
L 0 34 -1 0.000519625 32 32
L 0 35 -1 0.000520416 33 32
L 0 36 -1 0.000521028 34 32
L 0 37 -1 0.000521659 35 32
L 0 38 -1 0.000522330 36 32
L 0 39 -1 0.000522911 37 32
L 0 40 -1 0.000523492 38 32
L 0 41 -1 0.000524073 39 32
L 0 42 -1 0.000524715 40 32
L 0 43 -1 0.000525296 41 32
L 0 44 -1 0.000525897 42 32
L 0 45 -1 0.000526498 43 32
L 0 46 -1 0.000527029 44 32
L 0 47 -1 0.000527560 45 32
L 0 48 -1 0.000528131 46 32
L 0 49 -1 0.000529063 47 32
L 0 50 -1 0.000529644 48 32
L 0 51 -1 0.000530305 49 32
L 0 52 -1 0.000530806 50 32
L 0 53 -1 0.000531307 51 32
L 0 54 -1 0.000531798 52 32
L 0 55 -1 0.000532319 53 32
L 0 56 -1 0.000532820 54 32
L 0 57 -1 0.000533481 55 32
L 0 58 -1 0.000534032 56 32
L 0 59 -1 0.000534543 57 32
L 0 60 -1 0.000535074 58 32
L 0 61 -1 0.000535605 59 32
L 0 62 -1 0.000536126 60 32
L 0 63 -1 0.000536657 61 32
L 0 64 -1 0.000537198 62 32
L 0 65 -1 0.000537729 63 32
L 0 66 -1 0.000538270 64 32
L 0 67 -1 0.000538821 65 32
L 0 68 -1 0.000539332 66 32
L 0 69 -1 0.000539873 67 32
L 0 70 -1 0.000540394 68 32
L 0 71 -1 0.000540935 69 32
L 0 72 -1 0.000541496 70 32
L 0 73 -1 0.000541997 71 32
L 0 74 -1 0.000542538 72 32
L 0 75 -1 0.000543059 73 32
L 0 76 -1 0.000543630 74 32
L 0 77 -1 0.000544232 75 32
L 0 78 -1 0.000544843 76 32
L 0 79 -1 0.000545424 77 32
L 0 80 -1 0.000546065 78 32
L 0 81 -1 0.000546706 79 32
L 0 82 -1 0.000547377 80 32
L 0 83 -1 0.000547888 81 32
L 0 84 -1 0.000548369 82 32
L 0 85 -1 0.000548920 83 32
L 0 86 -1 0.000549491 84 32
L 0 87 -1 0.000550103 85 32
L 0 88 -1 0.000550754 86 32
L 0 89 -1 0.000551355 87 32
L 0 90 -1 0.000551986 88 32
L 0 91 -1 0.000552627 89 32
L 0 92 -1 0.000553249 90 32
L 0 93 -1 0.000553830 91 32
L 0 94 -1 0.000554331 92 32
L 0 95 -1 0.000554852 93 32
L 0 96 -1 0.000555433 94 32
L 0 97 -1 0.000556014 95 32
L 0 98 -1 0.000556635 96 32
L 0 99 -1 0.000557276 97 32
L 0 100 -1 0.000557998 98 32
L 0 101 -1 0.000558679 99 32
E 0 102 0 0.000653028 1 32
E 0 103 0 0.000655212 0 32
E 0 104 0 0.000656174 1 32
E 0 105 0 0.000656795 0 32
E 0 106 0 0.000657376 1 32
E 0 107 0 0.000658027 0 32
E 0 108 0 0.000658598 1 32
E 0 109 0 0.000659199 0 32
E 0 110 0 0.000660031 2 32
E 0 111 0 0.000660592 1 32
E 0 112 0 0.000661173 2 32
E 0 113 0 0.000661694 1 32
E 0 114 0 0.000662255 2 32
E 0 115 0 0.000662796 1 32
E 0 116 0 0.000663397 2 32
E 0 117 0 0.000663998 1 32
E 0 118 0 0.000665010 3 32
E 0 119 0 0.000665541 2 32
E 0 120 0 0.000666133 3 32
E 0 121 0 0.000666654 2 32
E 0 122 0 0.000667205 3 32
E 0 123 0 0.000667736 2 32
E 0 124 0 0.000668307 3 32
E 0 125 0 0.000668828 2 32
E 0 126 0 0.000669689 4 32
E 0 127 0 0.000670250 3 32
E 0 128 0 0.000670821 4 32
E 0 129 0 0.000671382 3 32
E 0 130 0 0.000671944 4 32
E 0 131 0 0.000672505 3 32
E 0 132 0 0.000673116 4 32
E 0 133 0 0.000673627 3 32
E 0 134 0 0.000674288 5 32
E 0 135 0 0.000674869 4 32
E 0 136 0 0.000675470 5 32
E 0 137 0 0.000676021 4 32
E 0 138 0 0.000676572 5 32
E 0 139 0 0.000677123 4 32
E 0 140 0 0.000677684 5 32
E 0 141 0 0.000678235 4 32
E 0 142 0 0.000678817 6 32
E 0 143 0 0.000679368 5 32
E 0 144 0 0.000679949 6 32
E 0 145 0 0.000680490 5 32
E 0 146 0 0.000681051 6 32
E 0 147 0 0.000681632 5 32
E 0 148 0 0.000682233 6 32
E 0 149 0 0.000682794 5 32
E 0 150 0 0.000771031 7 32
E 0 151 0 0.000773356 6 32
E 0 152 0 0.000774187 7 32
E 0 153 0 0.000774859 6 32
E 0 154 0 0.000775520 7 32
E 0 155 0 0.000776271 6 32
E 0 156 0 0.000776973 7 32
E 0 157 0 0.000777694 6 32
E 0 158 0 0.000778806 8 32
E 0 159 0 0.000779628 7 32
E 0 160 0 0.000780359 8 32
E 0 161 0 0.000781421 7 32
E 0 162 0 0.000782052 8 32
E 0 163 0 0.000782693 7 32
E 0 164 0 0.000783335 8 32
E 0 165 0 0.000784156 7 32
E 0 166 0 0.000784908 9 32
E 0 167 0 0.000785519 8 32
E 0 168 0 0.000786210 9 32
E 0 169 0 0.000786901 8 32
E 0 170 0 0.000788134 9 32
E 0 171 0 0.000788895 8 32
E 0 172 0 0.000789586 9 32
E 0 173 0 0.000790388 8 32
E 0 174 0 0.000791119 10 32
E 0 175 0 0.000791771 9 32
E 0 176 0 0.000792462 10 32
E 0 177 0 0.000793013 9 32
E 0 178 0 0.000793935 10 32
E 0 179 0 0.000794736 9 32
E 0 180 0 0.000795428 10 32
E 0 181 0 0.000796029 9 32
E 0 182 0 0.000796770 11 32
E 0 183 0 0.000797381 10 32
E 0 184 0 0.000798002 11 32
E 0 185 0 0.000798834 10 32
E 0 186 0 0.000799455 11 32
E 0 187 0 0.000800146 10 32
E 0 188 0 0.000800798 11 32
E 0 189 0 0.000801419 10 32
E 0 190 0 0.000802180 12 32
E 0 191 0 0.000802801 11 32
E 0 192 0 0.000803413 12 32
E 0 193 0 0.000803914 11 32
E 0 194 0 0.000804475 12 32
E 0 195 0 0.000805066 11 32
E 0 196 0 0.000805587 12 32
E 0 197 0 0.000806058 11 32
E 0 198 0 0.000806569 13 32
E 0 199 0 0.000807030 12 32
E 0 200 0 0.000807540 13 32
E 0 201 0 0.000807981 12 32
E 0 202 0 0.000808753 13 32
E 0 203 0 0.000809294 12 32
E 0 204 0 0.000809745 13 32
E 0 205 0 0.000810286 12 32
E 0 206 0 0.000810827 14 32
E 0 207 0 0.000811598 13 32
E 0 208 0 0.000812099 14 32
E 0 209 0 0.000812600 13 32
E 0 210 0 0.000813301 14 32
E 0 211 0 0.000813772 13 32
E 0 212 0 0.000814283 14 32
E 0 213 0 0.000814734 13 32
E 0 214 0 0.000815265 15 32
E 0 215 0 0.000815736 14 32
E 0 216 0 0.000816287 15 32
E 0 217 0 0.000816818 14 32
E 0 218 0 0.000817339 15 32
E 0 219 0 0.000817840 14 32
E 0 220 0 0.000818361 15 32
E 0 221 0 0.000818912 14 32
E 0 222 0 0.000819794 17 32
E 0 223 0 0.000820315 16 32
E 0 224 0 0.000820866 17 32
E 0 225 0 0.000821387 16 32
E 0 226 0 0.000822008 17 32
E 0 227 0 0.000822519 16 32
E 0 228 0 0.000823050 17 32
E 0 229 0 0.000823561 16 32
E 0 230 0 0.000824543 19 32
E 0 231 0 0.000825064 18 32
E 0 232 0 0.000825625 19 32
E 0 233 0 0.000826206 18 32
E 0 234 0 0.000826847 19 32
E 0 235 0 0.000827358 18 32
E 0 236 0 0.000827879 19 32
E 0 237 0 0.000828440 18 32
E 0 238 0 0.000829572 21 32
E 0 239 0 0.000830153 20 32
E 0 240 0 0.000830704 21 32
E 0 241 0 0.000831215 20 32
E 0 242 0 0.000831867 21 32
E 0 243 0 0.000832378 20 32
E 0 244 0 0.000832899 21 32
E 0 245 0 0.000833460 20 32
E 0 246 0 0.000834341 22 32
E 0 247 0 0.000834862 21 32
E 0 248 0 0.000835463 22 32
E 0 249 0 0.000835964 21 32
E 0 250 0 0.000836596 22 32
E 0 251 0 0.000837106 21 32
E 0 252 0 0.000837627 22 32
